iter	Logloss	Accuracy
0	0.5613166845	0.760989011
1	0.5062828246	0.7694024725
2	0.4817736302	0.7898351648
3	0.4619696499	0.7932692308
4	0.4513503968	0.8003090659
5	0.4425241697	0.8011675824
6	0.436314226	0.8013392857
7	0.4317069511	0.8028846154
8	0.4285952459	0.8042582418
9	0.4223333058	0.8033997253
10	0.4134738796	0.8059752747
11	0.4107090413	0.8087225275
12	0.4088328318	0.8100961538
13	0.4067861364	0.8116414835
14	0.405376816	0.8123282967
15	0.403211628	0.8125
16	0.3981222742	0.8147321429
17	0.3964676617	0.8155906593
18	0.3945349309	0.8178228022
19	0.3931291378	0.8179945055
20	0.3917100258	0.8178228022
21	0.3904732636	0.8178228022
22	0.3893136982	0.8183379121
23	0.3886015042	0.8178228022
24	0.387621139	0.8181662088
25	0.3863375597	0.8190247253
26	0.3847709593	0.8207417582
27	0.3847550231	0.8207417582
28	0.3841634042	0.8212568681
29	0.3814561102	0.8222870879
30	0.3811677731	0.8229739011
31	0.3805571838	0.8233173077
32	0.3804627707	0.8231456044
33	0.376294605	0.8288118132
34	0.3757614788	0.829842033
35	0.3749810979	0.8300137363
36	0.3729464787	0.8294986264
37	0.372740949	0.829842033
38	0.371507855	0.831043956
39	0.3704774796	0.8308722527
40	0.369563781	0.8312156593
41	0.368896204	0.8313873626
42	0.3660446705	0.8332760989
43	0.3648364612	0.8348214286
44	0.3643333446	0.8348214286
45	0.3636106813	0.8343063187
46	0.3634134082	0.8341346154
47	0.361263443	0.8353365385
48	0.3610576603	0.8351648352
49	0.3597285399	0.8343063187
